X1,Z,Y0,Y1,Y,p
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
0,0,110,120,110,0.2
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
1,0,90,90,90,0.5
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
0,1,110,120,120,0.2
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
1,1,90,90,90,0.5
