	age	educ	black	married	nodegree	re74	re75	re78	hisp	sample	treat	educ_cat4
1	42	16	0	1	0	0	0	100.485405	0	2	0	4
2	20	13	0	0	0	2366.794189	3317.467773	4793.745117	0	2	0	3
3	37	12	0	1	0	25862.32227	22781.85547	25564.66992	0	2	0	2
4	48	12	0	1	0	21591.12109	20839.35547	20550.74414	0	2	0	2
5	51	12	0	1	0	21395.19336	21575.17773	22783.58789	0	2	0	2
6	18	11	0	0	1	1310.749512	1455.532227	2157.480713	0	2	0	1
7	52	15	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
8	39	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
9	44	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
10	51	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
11	53	12	0	1	0	25862.32227	25243.54883	25427.24023	0	2	0	2
12	55	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
13	45	12	0	1	0	8987.157227	10666.74219	8096.463867	0	2	0	2
14	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
15	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
16	51	8	0	1	1	15973.90234	12967.30664	0	0	2	0	1
17	16	10	0	0	1	881.6700439	2391.87085	10747.50586	0	2	0	1
18	17	10	0	0	1	466.3055115	537.0968018	4306.095215	0	2	0	1
19	53	12	0	1	0	25862.32227	4380.919434	25564.66992	0	2	0	2
20	53	12	0	1	0	10233.25098	11305.88672	16150.07422	0	2	0	2
21	53	12	0	1	0	22884.23633	24563.22656	24081.0332	0	2	0	2
22	42	12	0	1	0	0	580.0645142	0	0	2	0	2
23	46	11	0	1	1	25862.32227	25243.54883	25564.66992	0	2	0	1
24	49	18	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
25	49	17	0	1	0	25780.0332	25243.54883	25564.66992	0	2	0	4
26	55	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
27	55	10	0	1	1	25862.32227	22060.35547	1536.835693	0	2	0	1
28	49	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
29	49	12	0	1	0	23999.05859	23564.22656	25564.66992	0	2	0	2
30	41	12	0	1	0	17139.66602	18447.48438	21143.3125	0	2	0	2
31	52	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
32	52	12	0	1	0	21389.31641	18300.67773	15736.31055	0	2	0	2
33	44	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
34	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
35	44	12	0	1	0	5999.274902	6146.177246	3877.554443	0	2	0	2
36	51	12	0	1	0	25427.36523	13549.16113	14803.86523	0	2	0	2
37	51	9	0	1	1	0	0	7385.677246	0	2	0	1
38	51	8	0	1	1	0	0	0	0	2	0	1
39	48	6	0	1	1	21553.89453	19980	2813.591309	1	2	0	1
40	47	12	0	1	0	0	5976.09668	4523.320801	0	2	0	2
41	47	12	0	1	0	19716.10156	25243.54883	0	0	2	0	2
42	47	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
43	43	12	0	1	0	23967.71094	19331.90234	25564.66992	0	2	0	2
44	53	16	0	1	0	22143.63281	21457.01563	21929.46289	0	2	0	4
45	50	11	0	1	1	24823.91016	20504.56445	0	0	2	0	1
46	53	12	0	1	0	25862.32227	0	16463.35156	0	2	0	2
47	53	10	0	1	1	0	0	0	0	2	0	1
48	50	12	0	1	0	14379.05859	11663.95117	8134.884766	0	2	0	2
49	46	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
50	46	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
51	42	12	0	1	0	0	3931.54834	14518.66406	0	2	0	2
52	46	12	0	1	0	20354.82227	24445.06445	25564.66992	0	2	0	2
53	55	18	0	1	0	25862.32227	25243.54883	25304.58984	0	2	0	4
54	55	18	0	1	0	25862.32227	23632.25781	25564.66992	0	2	0	4
55	46	8	0	1	1	22778.43555	25243.54883	25564.66992	0	2	0	1
56	55	14	0	1	0	0	0	0	0	2	0	3
57	55	14	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
58	55	14	0	1	0	13714.86719	23274.19336	19321.27539	0	2	0	3
59	55	14	0	1	0	8393.499023	19036.5	10639.63086	0	2	0	3
60	49	18	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
61	55	13	0	1	0	13738.37891	13024.59668	5989.225586	0	2	0	3
62	55	12	0	1	0	23334.86719	23612.56445	24834.67188	0	2	0	2
63	55	12	0	1	0	25627.20898	17298.09766	25564.66992	0	2	0	2
64	55	12	0	1	0	23262.375	23401.30664	0	0	2	0	2
65	49	15	0	1	0	25862.32227	25243.54883	9238.746094	0	2	0	3
66	52	16	0	1	0	8961.686523	22427.37109	24310.08008	0	2	0	4
67	49	13	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
68	52	15	0	1	0	0	0	0	0	2	0	3
69	49	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
70	49	12	0	1	0	0	0	0	0	2	0	2
71	52	14	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
72	52	13	0	1	0	25470.46875	25241.75781	23429.35547	0	2	0	3
73	52	12	0	1	0	16432.37109	19664.90234	21861.48633	0	2	0	2
74	45	14	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
75	49	3	0	1	1	5327.246582	8240.854492	13042.41504	1	2	0	1
76	40	13	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
77	48	18	0	1	0	9651.348633	784.1613159	17348.50977	0	2	0	4
78	48	18	0	1	0	25862.32227	25241.75781	25564.66992	0	2	0	4
79	54	18	0	1	0	19412.41602	18189.67773	16716.04297	0	2	0	4
80	48	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
81	54	16	0	1	0	11069.85742	10741.93555	0	0	2	0	4
82	48	13	0	1	0	0	0	0	0	2	0	3
83	51	18	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
84	51	18	0	1	0	8889.193359	24437.90234	11489.32422	0	2	0	4
85	48	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
86	48	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
87	51	16	0	1	0	0	0	0	0	2	0	4
88	54	12	0	1	0	19919.86523	19374.87109	20312.83008	0	2	0	2
89	54	12	0	1	0	25862.32227	25243.54883	23244.63867	0	2	0	2
90	54	12	0	1	0	12678.41504	12478.54883	15923.98145	0	2	0	2
91	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
92	51	15	0	1	0	12788.13477	12992.37109	7415.231934	0	2	0	3
93	51	14	0	1	0	22345.4375	25243.54883	24245.06055	0	2	0	3
94	44	12	0	1	0	25862.32227	25055.56445	25564.66992	0	2	0	2
95	51	12	0	1	0	21236.49219	17949.77344	22204.32031	0	2	0	2
96	51	12	0	1	0	25862.32227	25243.54883	215.7480774	0	2	0	2
97	51	8	0	1	1	20221.5918	14548.16113	6921.671387	0	2	0	1
98	51	8	0	1	1	9847.275391	10756.25781	10635.19824	0	2	0	1
99	51	3	0	1	1	13246.60254	11964.72559	12605.00781	1	2	0	1
100	43	16	0	1	0	17182.76953	22568.80664	19968.51953	0	2	0	4
101	43	15	0	1	0	2121.885986	3260.17749	0	0	2	0	3
102	47	14	0	1	0	19714.14258	18368.70898	4317.916992	0	2	0	3
103	38	12	0	1	0	17312.08203	15957.14551	0	0	2	0	2
104	47	13	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
105	47	12	0	1	0	19177.30273	18280.98438	15740.74316	0	2	0	2
106	47	12	0	1	0	8052.586426	7533.677246	0	0	2	0	2
107	47	12	0	1	0	25862.32227	25243.54883	9500.303711	0	2	0	2
108	47	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
109	47	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
110	47	12	0	1	0	0	0	0	0	2	0	2
111	47	12	0	1	0	25862.32227	23293.88672	0	0	2	0	2
112	47	12	0	1	0	18871.6582	18366.91992	19785.28125	0	2	0	2
113	47	12	0	1	0	16218.81055	11583.38672	20578.82031	0	2	0	2
114	47	12	0	1	0	25862.32227	20522.4668	24505.14063	0	2	0	2
115	46	10	1	1	1	17741.16016	17136.9668	21438.85742	0	2	0	1
116	43	12	0	1	0	25862.32227	0	25564.66992	0	2	0	2
117	43	12	0	1	0	18334.81836	18692.75781	20100.03711	0	2	0	2
118	43	12	0	1	0	16303.05859	14752.25781	11965.15234	0	2	0	2
119	50	18	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
120	50	18	0	1	0	23611.125	23376.24219	23315.57031	0	2	0	4
121	47	6	0	1	1	0	0	0	0	2	0	1
122	53	16	0	1	0	3869.552002	9345.483398	15294.46973	0	2	0	4
123	50	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
124	50	16	0	1	0	0	0	0	0	2	0	4
125	53	15	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
126	18	12	0	0	0	0	3485.758057	5980.359375	0	2	0	2
127	18	12	0	0	0	0	0	15024.0459	0	2	0	2
128	53	14	0	1	0	20985.70703	20289.72656	20692.60547	0	2	0	3
129	53	13	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
130	50	11	0	1	1	21367.76367	20950.35547	23577.12695	0	2	0	1
131	53	12	0	1	0	25738.88867	24742.25781	25564.66992	0	2	0	2
132	53	12	0	1	0	9761.067383	13393.40332	2936.242676	0	2	0	2
133	53	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
134	53	12	0	1	0	18544.46094	11631.72559	0	0	2	0	2
135	53	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
136	53	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
137	53	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
138	48	13	0	0	0	256.6639404	0	6562.583496	0	2	0	3
139	50	12	0	1	0	2901.674072	1962.193604	118.2181244	0	2	0	2
140	50	12	0	1	0	15221.54395	15776.32227	15829.40723	0	2	0	2
141	50	12	0	1	0	21162.04102	21485.66211	21698.9375	0	2	0	2
142	50	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
143	50	12	0	1	0	25862.32227	24090.58008	0	0	2	0	2
144	50	12	0	1	0	16540.13086	13019.22559	13869.94141	0	2	0	2
145	50	12	0	1	0	22098.57031	22830.19336	16407.19727	0	2	0	2
146	53	9	0	1	1	20838.76172	20989.74219	21192.07617	0	2	0	1
147	54	12	0	0	0	0	0	0	0	2	0	2
148	42	18	0	1	0	25439.12109	23275.98438	25564.66992	0	2	0	4
149	42	16	0	1	0	25862.32227	24321.5332	195.059906	0	2	0	4
150	46	17	0	1	0	25862.32227	25243.54883	11245.49902	0	2	0	4
151	46	16	0	1	0	0	0	0	0	2	0	4
152	42	10	0	1	1	25862.32227	25243.54883	14155.14258	0	2	0	1
153	46	15	0	1	0	10125.49121	11572.64551	7131.508301	0	2	0	3
154	46	14	0	1	0	25862.32227	13445.32227	0	0	2	0	3
155	46	14	0	1	0	19384.98633	16680.43555	19089.27148	0	2	0	3
156	42	8	0	1	1	20766.26953	21845.51563	24078.07617	0	2	0	1
157	46	12	0	1	0	16475.47461	16497.82227	19294.67578	0	2	0	2
158	55	18	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
159	55	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
160	46	6	0	1	1	21164	17885.32227	25564.66992	0	2	0	1
161	55	15	0	1	0	22319.9668	25243.54883	25564.66992	0	2	0	3
162	55	15	0	1	0	24608.39063	25243.54883	25564.66992	0	2	0	3
163	55	14	0	1	0	0	0	0	0	2	0	3
164	55	14	0	1	0	24200.86328	25243.54883	0	0	2	0	3
165	55	14	0	1	0	17137.70703	0	25564.66992	0	2	0	3
166	55	13	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
167	55	13	0	1	0	0	0	0	0	2	0	3
168	55	12	0	1	0	16859.49023	20889.48438	15307.76953	0	2	0	2
169	55	12	0	1	0	11814.37891	0	0	0	2	0	2
170	55	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
171	55	12	0	1	0	17743.12109	14498.03223	11609.01953	0	2	0	2
172	55	12	0	1	0	25862.32227	25243.54883	564.4915771	0	2	0	2
173	55	12	0	1	0	5509.458008	16716.24219	11867.62207	0	2	0	2
174	55	12	0	1	0	15752.50488	18798.38672	13179.84375	0	2	0	2
175	55	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
176	55	12	0	1	0	12472.69238	11511.77441	11572.07715	0	2	0	2
177	55	12	0	1	0	14333.99609	15692.17773	15613.65918	0	2	0	2
178	55	12	0	1	0	9796.333984	12800.80664	14777.26563	0	2	0	2
179	55	12	0	1	0	25409.73047	22565.22656	25320.8457	0	2	0	2
180	55	12	0	1	0	0	0	0	0	2	0	2
181	55	10	0	1	1	0	0	0	0	2	0	1
182	52	18	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
183	55	9	0	1	1	15252.8916	25243.54883	25564.66992	0	2	0	1
184	49	15	0	1	0	25862.32227	5370.967773	0	0	2	0	3
185	24	13	0	0	0	15664.33789	12073.93555	14904.35059	0	2	0	3
186	52	16	0	1	0	5478.109863	22507.93555	23877.10547	0	2	0	4
187	26	12	0	0	0	1201.030518	0	21659.03906	0	2	0	2
188	41	14	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
189	35	12	0	1	0	24582.91992	23788.01563	24726.79883	0	2	0	2
190	49	12	0	1	0	12094.55371	4296.774414	1861.935425	0	2	0	2
191	49	12	0	1	0	25862.32227	20400.72656	18444.98242	0	2	0	2
192	49	12	0	1	0	20944.5625	19290.72656	20001.0293	0	2	0	2
193	49	12	0	1	0	16018.96582	22262.66211	16153.0293	0	2	0	2
194	52	14	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
195	41	13	0	1	0	19030.35938	18300.67773	19537.02344	0	2	0	3
196	49	9	0	1	1	21064.07813	25243.54883	25564.66992	0	2	0	1
197	55	4	0	1	1	24377.19727	20026.54883	20398.53711	0	2	0	1
198	41	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
199	52	12	0	1	0	25862.32227	25243.54883	19039.0293	0	2	0	2
200	52	12	0	1	0	4633.666016	12668.32227	21520.13281	0	2	0	2
201	52	12	0	1	0	21067.99609	22785.43555	23745.58789	0	2	0	2
202	52	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
203	52	12	0	1	0	25862.32227	24650.95117	24883.4375	0	2	0	2
204	52	12	0	1	0	25862.32227	16970.4668	25564.66992	0	2	0	2
205	52	12	0	1	0	23973.58789	21548.32227	17748.97461	0	2	0	2
206	52	10	0	1	1	13873.56836	12489.29004	13785.71094	1	2	0	1
207	45	11	0	1	1	852.2810669	0	0	0	2	0	1
208	45	12	0	1	0	21324.66016	23370.87109	18196.72461	0	2	0	2
209	45	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
210	45	12	0	1	0	0	4407.774414	12303.55176	0	2	0	2
211	45	12	0	1	0	25862.32227	23548.11328	24738.62109	0	2	0	2
212	45	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
213	52	7	0	1	1	25862.32227	14514.14551	25564.66992	1	2	0	1
214	40	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
215	40	12	0	1	0	24016.69336	18404.51563	17586.42383	0	2	0	2
216	40	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
217	40	12	0	1	0	13634.53809	15298.30664	20627.58594	0	2	0	2
218	40	12	0	1	0	25862.32227	25243.54883	23653.96875	0	2	0	2
219	48	18	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
220	48	18	0	1	0	0	0	0	0	2	0	4
221	48	17	0	1	0	0	0	0	0	2	0	4
222	54	17	0	1	0	10458.56641	11483.12891	14292.57129	0	2	0	4
223	54	16	0	1	0	13483.67383	3732.82251	13636.46094	0	2	0	4
224	54	15	0	1	0	4406.391113	6412.935547	67.97542572	0	2	0	3
225	54	15	0	1	0	19776.83984	21100.74219	22446.66602	0	2	0	3
226	48	13	0	1	0	0	0	0	0	2	0	3
227	48	13	0	1	0	25862.32227	20714.0332	25564.66992	0	2	0	3
228	44	18	0	1	0	20674.18359	21127.59766	20822.64453	0	2	0	4
229	51	18	0	1	0	25862.32227	25243.54883	0	0	2	0	4
230	54	14	0	1	0	19202.77344	19437.5332	20215.29883	0	2	0	3
231	48	12	0	1	0	23146.77734	5297.564453	25564.66992	0	2	0	2
232	54	14	0	1	0	25862.32227	24362.70898	25564.66992	0	2	0	3
233	48	12	0	1	0	25862.32227	12084.67773	25564.66992	0	2	0	2
234	48	12	0	1	0	0	0	0	0	2	0	2
235	48	12	0	1	0	25862.32227	25243.54883	24273.13672	0	2	0	2
236	48	12	0	1	0	0	0	0	0	2	0	2
237	48	12	0	1	0	25591.94336	25243.54883	25564.66992	0	2	0	2
238	54	13	0	1	0	0	0	0	0	2	0	3
239	54	13	0	1	0	22611.89844	19672.06445	21264.48633	0	2	0	3
240	44	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
241	44	16	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	4
242	51	16	0	1	0	25862.32227	24860.41992	24574.59375	0	2	0	4
243	51	16	0	1	0	3607.010254	25243.54883	0	0	2	0	4
244	54	12	0	1	0	25862.32227	1229.95166	25564.66992	0	2	0	2
245	54	12	0	1	0	19982.5625	19960.30664	17206.64844	0	2	0	2
246	54	12	0	1	0	21058.19922	21303.04883	22508.73047	0	2	0	2
247	54	12	0	1	0	0	0	0	0	2	0	2
248	54	12	0	1	0	15196.07324	14188.30664	1052.141357	0	2	0	2
249	54	12	0	1	0	0	0	0	0	2	0	2
250	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
251	54	12	0	1	0	22415.9707	21118.64453	23322.95898	0	2	0	2
252	54	12	0	1	0	14531.88184	13259.12891	25564.66992	0	2	0	2
253	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
254	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
255	54	12	0	1	0	5166.586426	1963.983887	4473.078125	0	2	0	2
256	54	12	0	1	0	15127.49902	12247.59668	13698.52539	0	2	0	2
257	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
258	54	12	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	2
259	54	12	0	1	0	20374.41602	20499.19336	10261.33301	0	2	0	2
260	48	8	0	1	1	5470.272949	2588.806396	8703.80957	0	2	0	1
261	51	15	0	1	0	5593.706543	12396.19336	2523.957031	0	2	0	3
262	51	15	0	1	0	25862.32227	16453.06445	14605.84961	0	2	0	3
263	44	14	0	1	0	16908.47266	1315.887085	24276.0918	0	2	0	3
264	51	14	0	1	0	0	0	0	0	2	0	3
265	54	8	0	1	1	22878.35938	20137.54883	17918.91211	0	2	0	1
266	54	8	0	1	1	25276.50195	22241.17773	25564.66992	0	2	0	1
267	44	13	0	1	0	25862.32227	25243.54883	25564.66992	0	2	0	3
268	48	6	0	1	1	23773.74414	5650.258301	0	0	2	0	1
269	51	13	0	1	0	14569.1084	20171.56445	21664.94922	0	2	0	3
270	44	12	0	1	0	22029.99609	14598.29004	25564.66992	0	2	0	2
