s	Y	age	Z
1	0	74	0
2	0	21	0
3	1	56	0
4	0	18	0
5	0	51	0
6	1	40	1
7	0	60	1
8	1	31	0
9	0	35	1
10	1	68	1
11	1	50	1
12	1	38	1
13	0	38	1
14	1	59	1
15	0	71	0
16	0	63	0
17	0	27	1
18	0	24	1
19	0	26	0
20	0	32	0
21	0	38	0
22	0	54	0
23	1	58	0
24	0	42	0
25	0	63	0
26	1	54	1
27	1	54	0
28	0	51	0
29	1	59	1
30	1	42	1
31	1	61	1
32	0	32	0
33	1	50	1
34	0	37	1
35	1	52	1
36	0	23	0
37	0	27	1
38	0	59	0
39	1	55	1
40	0	64	0
41	0	37	0
42	1	45	1
43	0	37	0
44	0	75	0
45	1	61	1
46	0	74	0
47	1	40	1
48	0	23	0
49	1	74	0
50	0	57	1
51	0	61	0
52	0	42	1
53	1	72	1
54	1	73	0
55	0	23	1
56	1	75	1
57	0	56	1
58	1	68	1
59	0	59	0
60	0	23	1
61	0	41	0
62	1	49	0
63	0	31	1
64	0	19	1
65	1	62	0
66	0	35	0
67	0	39	0
68	0	31	1
69	0	55	0
70	0	18	1
71	1	68	1
72	0	68	0
73	1	57	1
74	0	23	0
75	0	40	0
76	1	61	1
77	0	23	1
78	0	57	0
79	1	56	1
80	0	28	0
81	0	34	0
82	0	53	0
83	0	30	0
84	1	57	1
85	0	42	0
86	1	65	1
87	1	42	1
88	1	40	1
89	0	63	0
90	0	37	0
91	0	56	0
92	1	46	1
93	0	30	0
94	0	39	1
95	1	46	1
96	0	45	0
97	1	61	1
98	1	65	0
99	1	50	0
100	0	62	0
101	0	38	1
102	0	48	0
103	1	55	1
104	1	34	0
105	0	26	1
106	1	56	1
107	0	40	1
108	0	36	1
109	1	71	1
110	1	67	1
111	1	43	0
112	0	65	0
113	1	60	1
114	1	47	1
115	1	59	1
116	0	49	1
117	0	56	0
118	1	68	0
119	1	46	0
120	0	51	0
121	0	27	0
122	0	18	0
123	0	60	0
124	1	43	1
125	0	32	0
126	1	75	1
127	0	46	0
128	0	41	0
129	1	59	0
130	1	65	1
131	1	70	0
132	0	29	0
133	0	56	0
134	1	41	1
135	1	70	1
136	1	45	0
137	0	39	1
138	1	57	1
139	0	50	1
140	0	36	0
141	0	43	0
142	0	52	0
143	0	60	0
144	0	18	0
145	0	46	0
146	1	31	1
147	0	39	0
148	0	23	0
149	0	45	0
150	1	69	1
151	1	58	0
152	1	54	1
153	1	63	1
154	0	66	1
155	0	20	1
156	0	39	1
157	1	52	1
158	0	24	1
159	0	63	0
160	1	52	1
161	1	68	0
162	0	61	0
163	0	66	0
164	1	58	1
165	1	67	0
166	1	73	1
167	1	71	1
168	1	66	1
169	1	67	1
170	0	72	0
171	1	64	1
172	0	44	0
173	0	24	0
174	1	64	1
175	1	37	0
176	0	74	0
177	1	41	1
178	1	68	1
179	1	70	1
180	0	33	0
181	0	36	0
182	0	53	0
183	0	19	1
184	0	65	0
185	0	18	0
186	1	61	1
187	0	56	0
188	0	58	0
189	1	75	0
190	0	30	0
191	0	43	1
192	1	51	0
193	0	19	1
194	0	36	1
195	0	34	0
196	0	51	1
197	0	28	0
198	0	48	1
199	0	52	1
200	0	52	0
201	1	63	0
202	0	36	0
203	0	62	0
204	0	28	1
205	0	33	1
206	1	57	1
207	0	26	0
208	1	67	1
209	1	45	0
210	1	75	1
211	0	41	0
212	0	27	0
213	0	32	0
214	1	69	0
215	1	54	1
216	1	74	0
217	0	49	0
218	1	54	1
219	0	56	0
220	1	48	1
221	0	54	0
222	1	46	1
223	0	29	0
224	0	31	1
225	0	55	0
226	1	69	0
227	0	33	0
228	0	32	0
229	0	19	0
230	0	18	1
231	0	20	1
232	1	73	1
233	1	26	1
234	1	55	1
235	0	34	0
236	0	37	0
237	0	22	1
238	1	58	1
239	0	44	1
240	1	61	1
241	0	48	0
242	0	70	0
243	1	25	1
244	1	53	1
245	0	66	0
246	1	58	0
247	0	46	1
248	0	38	0
249	0	18	1
250	0	70	0
251	0	37	1
252	1	59	1
253	0	63	1
254	1	59	1
255	1	74	1
256	1	41	0
257	1	70	0
258	1	70	1
259	0	39	1
260	0	55	0
261	1	67	0
262	0	33	1
263	0	47	0
264	0	46	0
265	0	19	0
266	0	25	0
267	0	31	1
268	1	53	1
269	0	43	0
270	1	57	0
271	1	70	1
272	0	54	0
273	0	25	1
274	0	73	0
275	0	24	1
276	1	69	0
277	0	53	0
278	1	66	1
279	1	59	1
280	0	53	0
281	1	74	1
282	0	26	0
283	0	44	0
284	1	58	1
285	0	32	0
286	0	74	0
287	1	55	0
288	0	23	0
289	0	21	0
290	0	52	0
291	0	52	0
292	1	30	1
293	1	58	1
294	1	74	1
295	0	24	0
296	1	42	1
297	1	48	0
298	1	63	0
299	1	54	1
300	0	45	1
301	0	56	0
302	1	45	1
303	1	69	1
304	0	37	0
305	0	46	0
306	1	59	1
307	1	57	1
308	0	18	1
309	0	45	1
310	0	31	0
311	0	48	0
312	0	29	0
313	1	46	1
314	1	33	1
315	0	61	0
316	0	27	0
317	1	51	0
318	0	43	0
319	0	66	0
320	0	50	1
321	0	21	0
322	1	70	1
323	1	70	1
324	0	39	1
325	0	42	0
326	1	41	1
327	1	54	1
328	1	61	1
329	0	32	0
330	0	31	0
331	1	64	1
332	0	34	1
333	1	64	1
334	0	35	0
335	0	50	1
336	0	49	0
337	0	25	1
338	1	70	1
339	1	73	1
340	1	59	1
341	0	56	0
342	0	24	0
343	1	44	1
344	1	60	1
345	0	67	1
346	0	26	1
347	0	37	0
348	0	51	0
349	1	54	1
350	1	46	0
351	0	28	0
352	0	19	1
353	1	69	1
354	0	20	1
355	0	64	0
356	1	55	1
357	0	58	0
358	0	32	0
359	1	45	1
360	1	72	0
361	0	22	0
362	1	45	1
363	0	31	1
364	0	54	0
365	0	60	0
366	0	60	0
367	0	34	0
368	0	18	0
369	1	43	1
370	1	62	1
371	1	50	1
372	0	36	1
373	0	43	0
374	0	40	0
375	0	21	0
376	1	33	1
377	1	66	1
378	0	44	0
379	0	74	0
380	1	56	1
381	0	55	0
382	1	69	1
383	0	33	0
384	0	51	0
385	0	46	1
386	0	62	0
387	0	52	0
388	0	27	0
389	0	23	1
390	1	56	1
391	1	66	1
392	0	50	0
393	0	40	1
394	0	50	0
395	1	52	1
396	0	28	1
397	0	30	0
398	0	72	0
399	1	67	1
400	1	54	1
401	0	43	0
402	0	43	0
403	0	65	0
404	1	57	1
405	1	51	1
406	0	21	0
407	1	73	1
408	0	42	0
409	1	55	1
410	0	34	0
411	1	41	1
412	0	26	1
413	1	62	1
414	1	63	1
415	1	47	1
416	0	26	0
417	0	28	0
418	1	39	1
419	1	49	1
420	1	57	0
421	0	20	1
422	1	68	1
423	0	36	0
424	0	50	0
425	1	69	0
426	0	21	1
427	0	30	0
428	0	18	0
429	1	57	1
430	1	70	1
431	1	22	1
432	1	59	1
433	1	61	1
434	1	52	1
435	1	74	1
436	0	40	0
437	1	46	0
438	1	70	0
439	0	52	0
440	0	53	0
441	0	26	0
442	0	72	0
443	1	52	1
444	0	52	1
445	1	37	1
446	0	39	1
447	1	74	0
448	1	58	0
449	0	39	0
450	0	36	0
451	1	61	1
452	0	35	0
453	0	61	0
454	1	56	1
455	1	46	1
456	0	44	0
457	1	53	1
458	0	49	0
459	1	48	1
460	0	68	0
461	1	72	1
462	0	34	0
463	1	54	1
464	0	68	0
465	1	72	1
466	0	69	1
