	Xcont.1	Xcont.2	Xcat.1	Xcat.2	Treat	Y
1	-1.207065749	-1.20533342	0	0	0	0
2	0.277429242	0.30146674	1	0	0	0
3	1.084441177	-1.539145224	0	1	1	1
4	-2.345697703	0.635370723	0	0	0	0
5	0.429124689	0.702951775	0	0	0	1
6	0.506055892	-1.905882865	1	1	0	1
7	-0.57473996	0.93892145	1	0	0	1
8	-0.546631856	-0.224492105	1	0	0	0
9	-0.564451999	-0.673816775	0	0	0	0
10	-0.890037829	0.445787445	0	1	0	1
11	-0.4771927	1.280617107	0	0	0	0
12	-0.998386445	1.565130134	0	0	0	1
13	-0.776253895	-1.200546036	0	0	1	0
14	0.064458817	-0.437694966	0	0	1	0
15	0.959494059	0.146381482	0	0	0	1
16	-0.110285494	0.066019076	1	1	0	1
17	-0.511009506	-0.445036015	0	0	0	0
18	-0.911195417	-2.342112386	0	0	1	0
19	-0.83717168	-0.278382368	0	1	0	0
20	2.415835178	-1.181803632	1	0	1	1
21	0.13408822	0.033125273	0	0	0	0
22	-0.490685897	-0.837717012	1	0	0	1
23	-0.440547872	-0.11761108	0	0	0	0
24	0.459589441	-0.741522571	1	1	0	1
25	-0.693720247	-0.408346969	0	0	0	0
26	-1.44820491	-0.377770761	1	0	0	0
27	0.574755721	1.328366712	1	0	0	1
28	-1.023655723	0.716436307	1	1	0	1
29	-0.0151383	-0.232289188	0	0	0	0
30	-0.935948601	-1.2262269	0	0	1	1
31	1.102297546	1.047538091	1	0	0	1
32	-0.475593079	-1.436407187	0	0	1	0
33	-0.709440038	-1.182468928	0	0	1	1
34	-0.501258061	-0.776204836	0	0	1	0
35	-1.629093469	-0.972313509	0	0	0	0
36	-1.167619262	-0.903657561	0	0	0	0
37	-2.180039649	1.287203946	0	0	0	0
38	-1.340993192	-0.106187601	1	0	0	0
39	-0.294293859	-0.715870954	0	0	1	1
40	-0.46589754	0.671722196	1	0	0	1
41	1.449496265	0.197633626	1	0	0	1
42	-1.068642724	-1.220096725	0	0	0	0
43	-0.855364634	-0.56096512	0	0	0	1
44	-0.280623002	0.533732634	0	1	0	1
45	-0.994340076	1.950315465	0	1	0	1
46	-0.968514318	1.58194323	1	0	0	0
47	-1.107318193	0.837787522	1	0	0	0
