nn,eval,beauty,female,age,minority,nonenglish,lower,course_id
1,4.3,0.2015666,1,36,1,0,0,3
2,4.5,-0.8260813,0,59,0,0,0,0
3,3.7,-0.6603327,0,51,0,0,0,4
4,4.3,-0.7663125,1,40,0,0,0,2
5,4.4,1.421445,1,31,0,0,0,0
6,4.2,0.5002196,0,62,0,0,0,0
7,4,-0.2143501,1,33,0,0,0,4
8,3.4,-0.346539,1,51,0,0,0,0
9,4.5,0.0613435,1,33,0,0,0,0
10,3.9,0.4525679,0,47,0,0,0,4
11,3.1,0.1432643,0,35,1,1,0,4
12,4,-0.1550228,0,37,0,0,0,0
13,3.8,0.1285433,0,42,0,0,0,0
14,3.4,-0.3470453,0,49,0,1,0,0
15,2.9,0.4619388,1,37,0,0,0,9
16,4.5,-0.1503849,0,45,0,0,0,9
17,4,-1.070734,1,56,0,0,0,10
18,3.8,-0.1426931,0,48,0,0,1,0
19,4.3,-0.1563634,1,46,0,0,0,0
20,3.4,-0.0589354,1,57,0,0,0,0
21,3.4,0.1511368,1,52,0,0,0,9
22,3.3,-0.937076,1,29,1,1,0,8
23,4.3,-0.8214405,0,62,0,0,0,10
24,4.4,-0.1994712,0,64,0,0,0,0
25,4.6,1.687167,1,34,0,0,0,0
26,4.2,-0.4101976,0,58,0,0,0,25
27,4,0.1233448,0,52,1,1,0,17
28,3.3,-0.8059942,0,73,0,0,0,13
29,4.4,-0.8210418,0,70,0,0,0,19
30,2.3,0.3198185,1,41,0,0,0,15
31,3.5,-0.0985568,0,63,0,0,0,12
32,4.7,-1.012306,0,47,0,0,0,0
33,3.9,0.4883314,0,39,0,0,1,0
34,4,-0.1719505,1,47,1,0,1,21
35,4.3,-1.167907,0,54,0,0,0,16
36,3.8,0.9525534,1,44,1,0,0,0
37,3.8,-1.140457,0,47,1,0,0,16
38,4,-0.8161172,0,62,0,0,0,0
39,4.6,-0.4837456,0,60,0,0,0,0
40,3.5,0.8450468,0,37,0,0,0,14
41,4.7,-0.3261277,0,42,0,0,0,0
42,4.2,0.1865589,0,35,0,0,0,22
43,3.4,1.881674,1,39,0,0,1,21
44,3.9,0.9626006,0,49,0,0,0,22
45,4.5,0.1534694,0,61,0,0,1,21
46,4.7,1.261046,0,33,0,0,0,22
47,3.5,0.0232144,1,58,0,0,0,23
48,3.7,-0.3460746,1,56,0,0,0,22
49,4,-0.744618,1,50,0,0,1,21
50,4.1,-0.7447439,0,52,0,0,0,0
51,4.4,0.6361284,1,33,0,0,0,0
52,4.2,0.5434852,0,57,0,0,0,0
53,4.5,0.9825948,1,38,0,0,0,1
54,3.8,-1.538843,1,34,0,0,1,0
55,3.1,1.067531,0,34,0,0,0,0
56,3.7,-0.4143639,0,32,0,0,1,0
57,3.9,0.7962944,1,42,0,0,1,0
58,4,-0.6466943,1,43,0,0,1,0
59,3.3,-0.4299034,0,35,0,1,0,25
60,3.1,-0.5924066,1,62,0,0,0,0
61,4,-0.9889295,0,42,0,0,0,0
62,4.3,0.5546651,0,39,0,0,0,0
63,3.7,0.6851749,1,52,0,0,0,0
64,3.4,0.9755885,1,52,0,0,0,0
65,4.3,-1.178738,1,52,0,0,0,0
66,3.7,-1.157511,0,64,0,0,0,0
67,4.2,1.327346,0,50,0,0,0,0
68,2.2,-1.511268,0,60,0,0,0,0
69,3,0.3034731,1,51,0,0,0,0
70,4.3,-0.5783117,0,43,0,0,1,0
71,4.6,-0.671936,0,50,1,0,1,0
