Sno,X1,X2,X3,X4,Z
1,0.338441718,-1.725582315,7,2,1
2,0.288526584,10.60000079,5,3,0
3,0.493197896,-0.171887455,4,5,0
4,0.700377939,-3.960770257,9,5,0
5,1.734511056,7.377576064,6,2,0
6,0.794022928,-3.627786043,4,3,0
7,0.410973481,1.56189521,4,3,1
8,1.075617055,3.459820547,4,2,0
9,0.20978437,-2.501453987,7,2,0
10,0.979125849,-11.27934676,6,4,1
11,1.027161903,0.218706635,9,2,1
12,0.023105074,-1.844090434,3,4,0
13,0.875651315,-4.801112024,5,5,1
14,0.179287719,0.518831541,9,3,0
15,0.981490468,2.136445674,4,4,1
16,0.141949316,-0.852407697,5,4,1
17,1.086663381,-7.74570149,5,3,0
18,0.668048215,-7.527999717,11,3,0
19,1.150151712,0.080217675,6,3,1
20,1.107600209,-0.926821567,5,4,1
