	Xcont.1	Xcont.2	Xcat.1	Xcat.2	Treat	Y	distance	weights	subclass
3	1.084441177	-1.539145224	0	1	1	1	0.562084868	1	17
13	-0.776253895	-1.200546036	0	0	1	0	0.609024401	1	3
14	0.064458817	-0.437694966	0	0	1	0	0.309536904	1	5
15	0.959494059	0.146381482	0	0	0	1	0.211074807	1	71
30	-0.935948601	-1.2262269	0	0	1	1	0.563767137	1	18
32	-0.475593079	-1.436407187	0	0	1	0	0.85863106	1	21
34	-0.501258061	-0.776204836	0	0	1	0	0.357804769	1	23
39	-0.294293859	-0.715870954	0	0	1	1	0.39199543	1	28
42	-1.068642724	-1.220096725	0	0	0	0	0.500939121	1	57
59	1.605909629	0.095324936	0	0	0	0	0.496964172	1	50
64	-0.66963358	-0.873012923	0	0	0	0	0.369536165	1	28
67	-1.138607737	-0.468739839	0	0	0	0	0.05809196	1	58
69	1.329564791	-0.108322302	0	0	1	1	0.557248099	1	52
71	0.006892838	-1.316193394	0	0	0	1	0.901751726	1	45
84	-0.17378717	-0.617615748	0	0	0	0	0.359374611	1	23
93	1.705964007	-0.069662527	0	0	1	1	0.678703238	1	67
99	0.972916753	-0.12740409	0	0	0	0	0.419955049	1	30
100	2.121117105	-0.021685404	0	0	0	1	0.785835106	1	20
101	0.414523534	0.113254084	0	0	1	1	0.104396314	1	1
114	0.849274203	-0.136985965	0	0	0	0	0.376572057	1	72
123	2.058161988	0.569932538	0	0	0	1	0.286949623	1	43
125	1.824208302	-0.960650359	1	0	1	1	0.807625564	1	2
128	-1.51328812	-1.731487818	0	0	0	0	0.739949496	1	26
138	-1.948246047	-1.655561354	0	0	1	0	0.504776565	1	4
153	1.638744645	0.389895101	0	0	0	1	0.268757098	1	25
170	1.471005717	0.138907098	0	0	1	1	0.400908748	1	6
174	-1.822235418	-1.081193447	0	0	1	0	0.141727994	1	7
190	-0.198416274	0.648385159	0	0	0	0	0.005963135	1	10
194	0.487814635	-1.617234062	0	0	0	0	0.984058469	1	49
201	0.485226821	-1.402315883	0	1	1	0	0.217704352	1	8
212	-0.400235237	-0.649356138	0	0	1	0	0.297445915	1	9
219	-0.304721069	0.597309287	0	0	1	1	0.005941498	1	10
222	0.660212632	-0.588460413	0	0	1	1	0.68349882	1	11
226	-0.659770094	-0.903387708	0	0	0	0	0.399106869	1	46
227	2.919140131	0.587982457	0	0	0	0	0.628110146	1	42
242	0.413398895	0.344923417	0	0	0	1	0.048620982	1	33
244	0.711175257	-0.177380835	0	0	1	0	0.354105593	1	12
254	0.663198616	-0.105679176	1	0	0	0	0.026039596	1	37
257	1.47696959	0.201462405	0	0	0	1	0.35127994	1	12
264	-1.763255067	-1.725133909	1	0	1	0	0.109630737	1	13
