	id	site	age	setting	pretest	encouraged	y
1	1	1	66	2	23	1	30
2	2	1	67	2	26	1	37
3	3	1	56	2	14	0	46
4	4	1	49	2	11	0	14
5	5	1	69	2	47	0	63
6	6	1	54	2	26	0	36
7	7	1	47	2	12	0	45
8	8	1	51	2	48	1	47
9	9	1	69	2	44	1	50
10	10	1	53	2	38	1	52
11	11	1	58	2	48	0	52
12	12	1	58	2	25	0	29
13	13	1	49	2	8	0	16
14	14	1	64	2	11	1	28
15	15	1	58	2	15	1	21
16	16	1	49	2	12	1	45
17	17	1	57	2	15	1	24
18	18	1	45	2	12	1	16
19	19	1	45	2	16	1	46
20	20	1	60	2	19	0	50
21	21	1	65	2	24	1	48
22	22	1	44	1	15	1	42
23	23	1	38	1	9	1	23
24	24	1	35	1	6	1	27
25	25	1	42	1	7	1	13
26	26	1	50	1	14	1	18
27	27	1	61	2	42	0	27
28	28	1	34	1	13	1	17
29	29	1	60	1	13	0	20
30	30	1	39	1	5	1	15
31	31	1	39	1	4	1	11
32	32	1	41	1	8	1	17
33	33	1	55	1	15	1	43
34	34	1	42	1	11	1	27
35	35	1	50	1	17	1	41
36	36	1	58	1	12	1	23
37	37	1	59	1	7	0	39
38	38	1	36	1	12	0	12
39	39	1	51	1	16	1	17
40	40	1	51	1	18	1	16
41	41	1	48	1	14	1	22
42	42	1	43	1	13	1	19
43	43	1	35	1	12	0	11
44	44	1	36	1	2	0	6
45	45	1	39	1	18	0	8
46	46	1	45	1	13	0	48
47	47	1	58	1	38	0	48
48	48	1	38	1	10	1	36
49	49	1	57	1	15	1	20
50	50	1	49	1	35	0	13
51	51	1	55	2	11	0	10
52	52	1	44	2	39	0	47
53	53	1	56	2	11	0	13
54	54	1	48	2	11	0	32
55	55	1	50	2	10	0	15
56	56	1	52	2	15	0	14
57	57	1	51	2	14	1	21
58	58	1	58	2	17	0	16
59	59	1	48	2	10	0	15
60	60	1	54	2	13	0	20
61	61	2	52	2	35	0	48
62	62	2	48	2	12	0	19
63	63	2	55	2	13	0	31
64	64	2	55	2	16	0	28
65	65	2	55	1	27	0	40
66	66	2	56	1	18	1	46
67	67	2	50	2	15	1	43
68	68	2	51	2	19	1	47
69	69	2	58	2	14	0	38
70	70	2	55	2	10	0	42
71	71	2	41	1	22	0	49
72	72	2	51	1	13	0	17
73	73	2	52	2	13	1	23
74	74	2	54	2	26	1	42
75	75	2	47	1	12	1	43
76	76	2	50	1	30	1	48
77	77	2	55	1	13	1	51
78	78	2	50	2	27	1	45
79	79	2	57	2	19	1	50
80	80	2	55	1	12	0	30
81	81	2	55	1	14	0	45
82	82	2	50	2	44	1	53
83	83	2	52	2	13	1	45
84	84	2	45	2	12	1	21
85	85	2	52	2	14	1	43
86	86	2	53	1	17	1	37
87	87	2	53	2	10	0	51
88	88	2	53	2	12	0	20
89	89	2	56	1	29	0	32
90	90	2	54	2	46	0	51
91	91	2	50	2	17	1	16
92	92	2	50	1	25	1	36
93	93	2	53	1	17	1	40
94	94	2	45	1	16	1	36
95	95	2	56	1	22	1	46
96	96	2	53	1	14	1	43
97	97	2	46	1	28	1	42
98	98	2	46	1	18	0	33
99	99	2	50	1	13	0	23
100	0	2	47	1	10	0	19
101	101	2	56	2	11	1	47
102	102	2	46	1	13	1	36
103	103	2	45	1	23	1	48
104	104	2	46	1	17	1	36
105	105	2	47	1	9	1	42
106	106	2	52	2	16	1	29
107	107	2	52	2	15	1	45
108	108	2	56	1	22	1	37
109	109	2	48	1	22	1	48
110	110	2	49	1	16	1	48
111	111	2	55	2	8	1	35
112	112	2	45	1	15	1	21
113	113	2	45	1	16	1	26
114	114	2	48	1	6	1	32
115	115	2	58	1	14	0	15
116	116	3	55	1	16	1	11
117	117	3	48	1	15	0	14
118	118	3	52	1	6	1	19
119	119	3	58	1	11	1	16
120	120	3	50	2	12	0	18
121	121	3	58	2	19	0	44
122	122	3	49	2	13	0	16
123	123	3	56	2	17	0	35
124	124	3	50	1	14	0	15
125	125	3	49	1	18	1	12
126	126	3	46	1	14	1	18
127	127	3	57	1	14	1	15
128	128	3	44	2	9	0	13
129	129	3	41	2	14	0	17
130	130	3	58	2	9	1	13
131	131	3	60	2	19	1	31
132	132	3	40	1	14	1	13
133	133	3	37	1	4	1	13
134	134	3	45	1	5	1	13
135	135	3	60	1	18	1	36
136	136	3	52	1	13	0	15
137	137	3	46	1	12	1	22
138	138	3	60	1	16	1	26
139	139	3	60	1	11	1	13
140	140	3	59	1	16	1	14
141	141	3	52	1	20	1	46
142	142	3	60	1	13	1	25
143	143	3	56	1	12	1	26
144	144	3	54	2	28	0	42
145	145	3	61	1	12	1	15
146	146	3	61	1	18	1	25
147	147	3	51	1	15	1	43
148	148	3	49	2	17	1	27
149	149	3	52	1	13	1	14
150	150	3	55	2	13	1	17
151	151	3	60	2	10	1	15
152	152	3	43	2	9	0	16
153	153	3	55	2	7	1	15
154	154	3	52	2	11	1	23
155	155	3	56	2	24	1	7
156	156	3	56	1	11	1	14
157	157	3	47	1	19	1	24
158	158	3	56	1	18	1	17
159	159	3	52	1	15	1	16
160	160	3	51	1	14	1	37
161	161	3	51	1	13	1	8
162	162	3	53	1	15	1	32
